주소,일자,언론사,기고자,제목,통합 분류1,통합 분류2,통합 분류3,사건_사고 분류1,사건_사고 분류2,사건_사고 분류3,개체명(인물),개체명(지역),개체명(기업_기관),키워드,특성추출,본문,원본주소
34,2021-08-01,디지털타임스,안경애,KT DS `인재·삶 우선 배려경영`… 성장·직원만족 두 토끼,경제>산업_기업,경제>취업_창업,사회>노동_복지,,,,우정민,대한민국,"KT그룹, 위, 고용노동부, KT, 실무위원회, DS","인재,KT,DS,배려경영,성장,직원만족,토끼,DS,KT,그룹,서비스,전문,기업,KT,인재,생각,배려경영,성장,직원만족,마리,토끼,주목,회사,코로나19,기업들,인력,채용,99명,청년,인재,경력채용,고집,기업들,대졸,신입,직원,채용,전문가,육아,54%,남성,업무특성,변화,업무,특성,IT기업,워라밸,균형,경영,기본,철학,지속,가능,성장,고용노동부,주관,대한민국,일자리,으뜸,기업,선정,대통령,인증,인증,양질,일자리,창출,독려,확산,2018년,참가,KT,DS,후보,기업,실무,위원회,심사,현장실사,평판,조회,최종,으뜸,포함,청년,채용,230%,증가,채용,시장,코로나19,KT,DS,사람,청년,취업,채용,청년,확대,2020년,99명,청년,신규,채용,230%,규모,회사,대졸,신입,사원,공개,채용,고용,확대,신규,사업,확장,인력양성,목적,퇴직률,2018년,3년,5.2%,5.2%,수준,육아,휴직,휴직자,54%,남성,저출산,국가적,DS,KT,직원들,출산,장려,2년,육아,휴직,기간,제공,노사,합의,법정기간,1년,여성,근로자,전유물,2018년,2020년,3년,육아휴직,육아,휴직,사용,근로자,54%,59명,남성,남성,육아,휴직자,휴직제도,리프레시,제도,활력,피로회복,목적,업무,성과,우수,장기,근속,직원,6개월,최대,신청,휴직,기간,80%,급여,지급,제도,2018년,3년,30명,활용,회사,선택근무,시차출퇴근,탄력근무,간주근로,선택,근무제,근로자,70%가량,활용,회사,직원간,소통,노력,협력사,고용,안정,회사,직원들,소통,갈등,소지,안정,기업,활동,직장생활,요인,회사,전담,부서,단체,교섭,기간,국한,상시적,노사,소통,무쟁,연속,단체,교섭,체결,기조,협력사,협력사,고용,경영안정,2016년,50억,규모,상생,협력,펀드,제도,운영,18개,45억,규모,활용,54곳,우수,협력사,인센티브,포상금,지급,정규,채용,독려,여성,장애인,균형,배려,여성,근로자,비율,30%,채용,대졸,신입,사원,채용,여성,절반,차지,남녀고용평등,실천,고용,노동부,남녀,고용,평등,우수,기업,장관,표창,정규,비율,3.8%,장애인,고용,체육,인재,육성,후원,초점,체육선수단,KT,DS,장애인,체육,선수단,창단,배드민턴,수영,분야,9명,선수,중증,장애인,직원,채용,6월,전국,장애인,배드민턴,대회,2명,소속,선수,혼합,복식,금메달,성과,워크&엔조이,기업문화,2008년,KT,분사,창립,주년,KT,DS,4991억,매출,기록,매출,눈앞,직원,800여,1400여,전통,SI,시스템통합,인공지능,빅데이터,클라우드,솔루션,서비스,집중적,회사,인재,배려,경영,변화,시대,성장,혁신,에너지,사람,확신,2016년,Work&Enjoy,기업문화,핵심,회사,전사,노력,고객,변화,의미,회사,설명,우정민,KT,DS,대표,우수,인재,성장,행복,일터,일자리,확대,지역,경제,발전,이바지,창립,주년,직원,자랑,서비스,전문,기업","kt,장애인,협력사,근로자,일자리,육아휴직,남녀고용평등,코로나19,금메달,휴직자","KT그룹 IT서비스 전문기업..이 회사는 코로나19로 많은 기업들이 인력 채용을 줄인 가운데 작년 한해에만 99명의 청년 인재를 뽑고, 경력채용만 고집하는 대부분의 기업들과 달리 매년 대졸 신입직원을 채용해 전문가로 키우고 있다...◇2020년 청년채용 230% 증가=채용 시장에도 코로나19 후폭풍이 거셌지만 KT DS는 오히려 더 많은 사람을 뽑았다...",http://www.dt.co.kr/contents.html?article_no=2021080202101131650001&ref=jeadan
35,2021-08-01,부산일보,조영미,[부산영화 미래보고서 2] 극장 ‘침몰’에도 영상 콘텐츠 ‘판 커져’,문화>영화,문화>전시_공연,,,,,김민지,"부산, 한국, 수도권","영진위, NEW, 부산, 넷플릭스, 박스오피스, CJ ENM, OTT, 영화진흥위원회","극장,침몰,영상,콘텐츠,영화,승리호,송중기,넷플릭스,제공,코로나19,극장,산업,침몰,영화,관람,횟수,1인,4.37회,격감,OTT,온라인,동영상,서비스,발달,투자,영상,콘텐츠,극장,OTT,영상,콘텐츠,산업,자체,영화,진흥,위원회,영진위,한국,영화,산업,상반기,결산,10편,상반기,흥행작,한국영화,2편,발신제한,미션,파서블,9,,차지,한국영화,상반기,흥행작,한국,영화,2편,1인,관람,횟수,1회,OTT,위주,공격,투자,부산,틈새,공략,기회,코로나19,한국,영화,황금기,결과,박스오피스,흥행,흥행,한국영화,극한직업,기생충,엑시트,백두산,2018년,4편,한국영화,코로나19,영향,시작,외국,영화,개봉,급감,여파,박스오피스,작품,8편,한국영화,상황,역전,영진위,영화산업,한국,영화,산업,통계,지표,매출,극장,극장,극장,매출,비중,수준,유지,코로나19,세계,직격탄,5.5,5.5,4.5,수준,한국,영화,투자,배급사,상황,반응,영화,제작,드라마,시리즈,박차,그동안,투자,배급사,극장,매출,최우선,작품,제작,작품,소개,플랫폼,측면,접근,영화,변호인,부산행,배출,투자배급사,김민지,홍보,팀장,극장,결국,플랫폼,생각,콘텐츠,성격,상영,플랫폼,선택,투자배급사,인식,변화,넷플릭스,콘텐츠,제작,5500억,투자,CJ,ENM,8000억,투자,선두주자,토종,OTT,선두,주자,웨이브,800억,시작,2025년,1조,투자,계획,한국,OTT,시장,선점,OTT,성장,제작,몸값,상승,촬영,스튜디오,부족,현상,수도권,중심,촬영,수요,스튜디오,공급,부산,지역,기회,상황,부산일보,2019년,부산,영화,미래,보고서,시즌,기획,보도,본격적,OTT,시대,시장,영상,콘텐츠,부산,영화,영상,도시,방안,제시,예정","한국,ott,한국영화,코로나19,부산,상반기,박스오피스,1인,배급사,넷플릭스,투자배급사,영진위,4편,흥행작"," 코로나19는 극장 산업의 침몰을 앞당겼다... 코로나19 이전 한국영화 황금기였던 2019년 박스오피스 결과를 보면, 흥행 톱 10가운데 4편이 한국영화(‘극한직업’ .. 지난해 코로나19의 영향을 받기 시작하면서 외국영화 개봉이 급감한 여파로 박스오피스 톱 10 작품 중 8편이 한국영화였지만, 올 들어 상황이 역전됐다.....코로나19의 세계적 대확..",http://www.busan.com/view/busan/view.php?code=2021080119423033028
36,2021-08-01,충청일보,김병한 기자,천안 1일 지난 주말 코로나 19 확진자 16명 발생,지역>충남,지역>울산,지역>경북,,,,,"충북, 성거읍, 동남구, 강남구, 충남, 두정동, 성환읍, 신부동, 서북구, 아산시, 서울시, 동면, 경기도, 안산, 쌍용1동, 영등포구, 청주시, 천안, 불당동, 백석동, △천안1839ㆍ30대, 단원구","천안1759, 천안1839ㆍ1841, 천안1758, 천안1835, 천안1755, 천안1832, 천안1821, 쌍용, 천안1833, 천안1831, 천안시, 천안1829, 천안1838, 천안1828, 천안1826~1827, 쌍용2동, 천안1840, 천안1836~1837, 천안1792","천안,주말,코로나,확진자,발생,충남,천안시,1일,주말,코로나,확진자,7명,지난달,발생,누적,확진자,1841명,일주일,발생,50명,감소,확진자,지속,유흥업소,기업체,발생,가족,지인,접촉자,판정,격리,확진,코로나,확산세,하향세,천안1826,단원구,경기도,안산,확진자,접촉,천안1828,천안1792,접촉자,가격리,확진,천안1829,천안1758,접촉자,가격리,확진,천안1830,천안1824,접촉자,천안1831,천안1755,가족,가격리,확진,천안1832,천안1759,접촉자,천안1833,천안1824,접촉자,천안1834,천안1826,접촉자,천안1835,천안1821,가족,자가격리,확진,천안1836,해외입국자,천안1838,확진자,서울시,영등포구,가족,천안1839ㆍ1841,역학,조사,감염경로,조사중,천안1840,확진자,서울시,강남구,접촉자,확진자,연령대,거주지,천안1826ㆍ20대,동남구,동면,천안,동남구,동면,천안,아산시,천안1829ㆍ40대,서북구,두정동,천안,동남구,신부동,천안,서북구,성거읍,천안,서북구,두정동,천안,서북구,쌍용,천안,충북,청주시,천안,서북구,불당동,천안,서북구,쌍용,천안,서북구,쌍용,천안,서북구,쌍용3,천안1839ㆍ30대,서북구,성환읍,천안,서북구,백석동,천안,서북구,불당동","천안,확진자,접촉자,서북구,쌍용,두정동,코로나,서울시,일주일,청주시,안산,신부동,경기도,성환읍,성거읍,불당동,백석동,동남구,영등포구,강남구,감염경로,조사중,하향세,유흥업소,거주지,확산세,7명","충남 천안시는 1일 지난 주말 코로나 19 확진자가 지난달 31일 7명, 1일 9명 등 모두 16명 발생해 누적 확진자는 총 1841명이다고 밝혔다... .. .. ..일..확진자가 지속됐던 유흥업소와 기업체 발생은 현저하게 줄어든 반면 대부분이 가족이나 지인 접촉자가 대부분으로 자가 격리중 확진 판정을 받고 있어 코로나 확산세가 하향세를 보이고 있다...",https://www.ccdailynews.com/news/articleView.html?idxno=2073320
37,2021-08-01,충청일보,충청일보,특이하고 처음보는 '도쿄 올림픽',국제>일본,스포츠>올림픽_아시안게임,스포츠>월드컵,,,,"김법혜, 아베 신조","신주쿠, 한반도, 일본, 지구, 도쿄, 경기, 소리도, 동일본, 설령","스님ㆍ민족통일불교중앙협의회, 경기, 열도","특이,도쿄,올림픽,충청산책,김법혜,스님,민족통일불교중앙협의회,의장,우여곡절,도쿄,올림픽,일본,도쿄,신주쿠,국립,경기장,개막,17일,열전,돌입,특이,올림픽,코로나19,올림픽,역사,연기,팬데믹,올림픽,대회,사상,무관,대회,TV,올림픽,안방,올림픽,가족,지구촌,감동,우정,화합,지구촌,축제,코로나19,확산,경기,기간,걱정,태산,실력,바탕,불굴,투지,승부,페어플레이,정신,경기,감동,도쿄,올림픽,슬로건,감동,올림픽행사,주제,전진,기간,만큼,도쿄,올림픽,갈등,대결,화합,공존,정신,지구촌,평화,기여,도쿄올림픽,참가,선수들,4년,메달,선수,금메달,땀방울,노력,결실,메달,경기장,최선,모습,승패,박수,도쿄올림픽,참가,일본,도착,관계자들,폐막,메달,셀프,수여,올림픽,풍경,사회,거리,올림픽,선수들,4년,1년,코로나,올림픽,반감,인간,열정,몸짓,세계인,감동,선수들,혼신,땀방울,비난,승리,환호,패배,박수,코로나,대로,심신,올림픽,감동,세계적,상황,코로나,위기,선수단,도전,극복,드라마,세계인,희망,위안,젊은이들,미래,세대,젊은이,기량,일본,한반도,밤잠,태극,전사,자신,기량,투혼,스포츠,정신,발휘,모습,선수들,눈물,역병,경제난,정치,불안,고통,국민들,희망,용기,일본,열도,심장,과녁,바벨,물살,한민국,올림픽,참가,선수들,환호,박수,에너지,국민,시상대,선수들,미소,세상,최고,코로나,백신,올림픽,세계인들,미래,희망,바람,올림픽,개막,미라이토,모습,슈퍼마리오,복장,올림픽,유치,아베,신조,일본,총리,개막식,불참,비난,여론,도쿄올림픽,손실,규모,계산,불가,정도,최대,올림픽,역사,154억,달러,17조,투입,티켓,환불,취소,호텔,예약,손해,2조,육박,마스코트,상품,마스코트,창고,낮잠,올림픽,후원,기업,한숨,소리,동일본,상흔,코로나19,극복,피날레,도쿄올림픽,세계인,축제,걱정거리,전락,올림픽,미라이토,올림픽,마스코트,흑역사,코로나,관중석,풍경,메달,현장,가슴,올림픽,대회,올림픽,캐릭터,각국,응원단,함성,지구촌,사람,가슴","일본,코로나,지구촌,도쿄올림픽,세계인,도쿄,코로나19,선수들,땀방울,경기장,만큼,동일본,우여곡절,신주쿠"," 코로나19 대유행 탓으로 올림픽 역사상 처음으로 1년 연기돼 .. 코로나에 지칠 대로 지친 심신이 올림픽의 감동으로 어우러질 수 있기를 기대한다.....코로나 위기 상황에서 선수단은 도전과 극복의 드라마를 통해 .. 동일본 대지진의 상흔을 씻고, 코로나19 극복이라는 피날레를 꿈꾼 도쿄올림픽...코로나가 바꿔 놓은 텅 빈 관중석 풍경은 너무도 낯설다...",https://www.ccdailynews.com/news/articleView.html?idxno=2073165
38,2021-08-01,전북도민일보,김제=조원영 기자,김제시 2일부터 사회적 거리두기 3단계로 격상,지역>충북,사회>사회일반,지역>전남,,,,박준배,"김제시, 김제, 수도권","김제시, 콜라텍","김제시,사회,거리,3단계,격상,김제시,사회,거리,3단계,격상,박준배,시장,코로나19,추가,확진자,발생,사회,거리,3단계,격상,긴급,언론,브리핑,비대면,시민들,개인,방역,수칙,준수사항,당부,김제시,일주,일간,일일,평균,발생,인구대비,확진자,발생,상황,위중,거리,사회,3단계,격상,추진,지역사회,연쇄감염,시민,건강,위협,상황,차단,추가,전파,시민,건강,심정,결정,사항,사회,거리,3단계,행사,집회,결혼식장,장례식장,미만,허용,유흥시설,콜라텍,무도장,노래연습장,목용장업,22시,운영,제한,식당,카페,22시,포장,배달,허용,종교시설,수용인원,20%,참석,가능,좌석,네칸,행사,모임,식사,숙박,실외행사,미만,가능,박준배,김제,시장,휴가철,여행,지역,피서지,자제,분산,백신접종,실내,마스크착용,손소독,거리,방역수칙,준수,당부,유증상자,접촉,수도권,지역,방문,시민들,증상,선별진료소,보건소,선별,진료소,신속,검사,시장,김제시,방역,상황,특별,점검,신속,정확,역학조사,총력,시일내,단계,하향조정,최선,자영업자분들,시민,이해,협조,당부,김제","김제시,박준배,확진자,3단계,보건소,피서지,시민들,방역수칙,코로나19,김제,시일내,하향조정,연습장,마스크착용,목용장업,노래연습장,백신접종,목용,무도장,역학조사,수도권,자영업자분들,유증,실외행사,선별진료소,장업,콜라텍,수용인원,결혼식장,비대면",　김제시가 사회적 거리두기를 3단계로 격상했다... .. .. ..　박준배 시장은 1일 코로나19 추가 확진자가 계속 발생하여 사회적 거리두기 3단계로 격상하고 이에 따른 긴급 언론브리핑을 비대면으로 열고 시민들에게 개인 방역수칙 등 준수사항에 대해 재차 당부했다... .. .. ..　김제시는 일주일간 일일평균 5.6명 발생으로 인구대비 많은 확진자가 ..,http://www.domin.co.kr/news/articleView.html?idxno=1349374
39,2021-08-01,충청일보,이용민 기자,"충북중기청, 수출 중기 물류비 지원",경제>무역,경제>취업_창업,경제>자동차,,,,윤영섭,"미주, 서안","정부, 수출지원센터, 바우처, 수출바우, 중기부, 충북중기청","충북중기청,수출,중기,물류비,지원,모집,바우처,사업,참여,기업,최대,충북지방중소벤처기업청,참여기업,물류,전용,수출바우처,사업,참여,기업,모집,1일,사업,물류,전용,수출바우처,연말,해외,물류,계획,기업,신청,가능,전국적,780여개,수출,중소기업,선정,109억,지원,계획,일반,물류,지원,장기,운송,계약,지원,방식,지원,기업,수출,규모,물류비,1000만,2000만,바우처,발급,70%,정부,지원,분야,일반,물류,지원,수출,소요,해상,항공,운송비,운임보험료,국제운송비,지원,분야,장기,운송,계약,지원,미주,대상,수출,물량,중소기업,국적해운선사,HMM,장기,운송,계약,체결,국제운송비,지원,바우처,희망,기업,2일,13일,홈페이지,물류,전용,수출바우처,www.exportvoucher.com,logi,온라인,신청,사항,콜센터,중기부,수출,바우처,충북중기청,수출,지원,센터,문의,청장,충북중기청,윤영섭,코로나19,장기,해상,항공,운임,급등,수출,중소기업,어려움,지속,물류,전용,수출바우처,사업,중소기업,부담,수출,물류,운송비,도움","중소기업,운송비,수출바우처,바우처,충북중기청,참여기업,물류비,미주,중기부,코로나19,국제운송비,윤영섭,2000만,홈페이지,해운선사,logi,온라인,국적해운선사,보험료,1000만","바우처사업 참여기업 모집… 최대 2000만원? 충북지방중소벤처기업청은 물류전용 수출바우처사업 참여기업을 모집한다고 1일 밝혔다... .. .. ..이번 물류전용 수출바우처 사업은 연말까지 해외 물류계획이 있는 기업이면 모두 신청 가능하고, 전국적으로 수..코로나19 장기화로 최근 해상ㆍ항공 운임이 급등하여 수출 중소기업의 어려움이 지속되고 있다면서 ..",https://www.ccdailynews.com/news/articleView.html?idxno=2073348
40,2021-08-01,충청일보,이용민 기자,김경만 민주당 중기특위원장 충북 방문,경제>산업_기업,지역>충북,지역>전북,,,,"김경만, 이덕근, 김성하, 박순균, 김진상, 민명구, 류근필, 윤택진","충북, 충북소","수퍼조합, 기계, 중소기업중앙회, 산업용재유통단지조합, 민주당, 아스콘조합, 정부, 가스판매업조합, 자금지원, 더불어민주당, 메리야스조합, 충북지역본부","방문,김경만,민주당,중기,특위원장,충북,간담회,지역,협동조합,청취,기업,경영,애로,중소기업특별위원장,더불어민주당,김경만,중소기업,특별,위원장,중견기업,골목상,침해,방지,충북,지역,현안,해소,약속,중소기업중앙회,충북,지역,본부,위원장,김경만,대표들,지역,중소기업,대표,간담회,자리,충북,소재,레미콘,조합,윤택진이사장,가구조합,김진상,이사장,메리야스조합,최면복,이사장,수퍼조합,류근필,이사장,기계조합,김성하,이사장,가스판매업조합,민명구,이사장,아스콘조합,박순균,상무이사,산업용,재유통단지조합,이덕근,상무이사,업종,대표,협동조합,이사장,상무이사,10명,참석,대표들,이날,업종,대표,김경만,위원장,공공구매목표제,지역,제한,경쟁,입찰,확대,조합,추천수의,계약,제도,공공,구매,중견,규모,유통,기업,LPG배관사업,골목상,침해,방지,LPG,배관,사업,개선,최저,가격,입찰,기준,정부,자금,지원,산업,재유통단지,전통,시장,지정,각종,현안,건의,김경만,위원장,코로나19,장기,유행,지방,중소기업,소상공인,어려움,상황,중소기업,현안,해소,코로나19,일상생활,중소기업,조기,정책지원,간담회,유행,코로나19,지역,중소기업,소상공인,경영,애로,청취,정책,지원,방안,마련,김경만,위원장,요청,마련","이사장,김경만,충북,중소기업,코로나19,위원장,상무이사,간담회,산업용,대표들,협동조합,골목상,중소기업중앙회,민주당,소상공인,더불어민주당,공공구매목표제,윤택진이,가구조합",코로나19의 장기 유행으로 지방 중소기업과 소상공인의어려움이 극에 달하고 있는 상황이 매우 송구스럽고 안타깝다고 말하며 ..중소기업의 현안 해소와 코로나19 이전의 일상생활로 중소기업이 조기에 돌아갈 수 있도록 정책지원을 아끼지 않겠다고 밝혔다.....코로나19 4차 유행으로 지역 중소기업과 소상공인의 경영애로 청취와 정책적 지원방안을 마련코자 ..,https://www.ccdailynews.com/news/articleView.html?idxno=2073344
41,2021-08-01,경향신문,최승현 기자 cshdmz@kyunghyang.com,"노마스크에 심야 '풀파티' 연 호텔···강릉시, 열흘간 운영중단 행정명령",지역>광주,지역>경기,지역>전북,,,,,"강릉, 강릉시, 강원, 양양군","양양지역, 강릉시, 강릉시장, 현남면, 강릉지역, 강릉경찰서","노마스크,심야,풀파티,호텔,강릉시,행정명령,열흘간,운영,중단,행정,명령,대유행,코로나19,지속,수영장,음료,풀파티,호텔,자치단체,운영,중단,처분,강원,강릉시,영업시간제한,사회,거리,방역수칙,위반,호텔,10일,행정명령,열흘간,운영,중단,행정,명령,1일,강릉시,강릉경찰서,지난달,호텔,합동단속,거리,위반,마스크,착용,풀파티,현장,적발,강릉시,공공,안전,복리,처분,중요,사안,판단,행정,절차법,운영,중단,행정명령,강릉시,지난달,호텔,수영장,차례,공연,계획,홍보글,사회관계망서비스,SNS,민원,접수,호텔,방문,행사주최,행정명령,행사,주최,행정,명령,통보,방역수칙,준수,당부,강릉시,행정지도,무시,행사,강행,파티,운영자,경찰,고발,김한근,강릉시장,행정지도,방역수칙,위반,사실,적발,조치,사례,발생,여부,방역,수칙,준수,단속,강화,강화,물리적,사회적,거리,3단계,시행,강릉지역,확진자,코로나19,누적,1일,기준,813명,210명,입원,치료,나머지,치료,퇴원,강릉,양양지역,업소,풀파티,사실,논란,지난달,온라인,커뮤니티,양양군,현남면,마스크,풀파티,사진,공개,누리꾼,질타","강릉시,풀파티,코로나19,방역수칙,행정명령,강릉,열흘간,수영장,온라인,행사주최,행정지도,누리꾼,운영자,홍보글,김한근,사회관계망서비스,물리적,강릉시장,강릉지역,양양군,양양지역,양양,현남면,3단계,대유행,자치단체,확진자",코로나19 4차 대유행이 지속되고 있는 가운데 늦은 밤까지 수영장에 모여 술·음료를 즐기는 ..‘풀파티’를 벌인 호텔이 자치단체로부터 운영중단 처분을 받았다. .. ..강원 강릉시는 영업시간제한과 사회적 거리두기 등의 방역수칙을 위반한 모 호텔에..강화된 물리적(사회적) 거리두기 3단계가 시행되고 있는 강릉지역의 코로나19 누적 확진자(1일 0시 기준 ..,https://www.khan.co.kr/national/health-welfare/article/202108011532001
42,2021-08-01,광주매일신문,고훈석 기자,외국인 코로나 방역수칙 홍보,지역>대전,지역>경기,지역>충남,,,,,"고려인마을, 월곡동, 광주","재능기부단, 광산구","외국인,코로나,방역,수칙,홍보,광주,광산구,외국인주민,대상,방지,코로나19,확산,활동,방역,수칙,홍보,광산구,지난달,외국인,주민,명예,통장단,재능기부단,민간,지원,단체,월곡동,고려인마을,외국어,번역,방역,수칙,홍보물,외국인,주민,명예,통장단,재능기부단,이동자제,마스크,착용,생활방역,5인,집합금지,집합,방역수칙,안내,공문,언어,번역,오프라인,홍보,선별진료소,백신접종,상담,안내,다국어,번역,서비스,지원,비상연락체계,운영,광산구,이날,관내,기업,공간,이주,노동자,근무,기숙사,철저,방역,출입,명부,관리,소독,주기,환기,방역,수칙,준수,요청,공문,발송","방역수칙,광산구,외국인,외국인주민,홍보물,기부단,코로나19,집합금지,5인,코로나,백신접종,진료소,재능기부단,통장단,이동자제,생활방역,고려인마을,비상연락체계,월곡동,노동자,기숙사,외국어,선별진료소,다국어,오프라인","광주 광산구는 외국인주민을 대상으로 코로나19 확산 방지를 위한 방역수칙 홍보 활동을 벌였다. .. ..광산구는 지난달 30일 오후 외국인주민 명예통장단·재능기부단 등 민간지원 단체와 함께 월곡동 고려인마을에서 외국어로 번역한 방역수칙 홍보물을 배포했다. .. ..이와 함께 외국인주민 명예통장단·재능기부단은 이동자제, 마스크 착용, 생활방역, 5인 이상..",http://www.kjdaily.com/news_view.php?n=552715&tmp=20210801&s=3
43,2021-08-01,부산일보,조경건,안산 3관왕 타이틀 영광…남은 목표는 개인전 150점 만점,스포츠>올림픽_아시안게임,스포츠>축구,스포츠>농구_배구,,,,"안산, 장민희, 김우진, 강채영, 오진혁, 김제덕","안산, 영종도, 남초, 경기, 도쿄, 영광, 당하, 한국, 해주시, 인천국제공항","안산, 현대제철, 장민희(인천대, 연합뉴스, 광주여대, 영광, 안산(, 현대모비스, 대표팀, 양궁협회","안산,타이틀,영광,만점,개인전,안산,도쿄,올림픽,양궁,1일,영종도,인천국제공항,귀국,양궁,도쿄,올림픽,금메달,획득,역사,안산,20·광주여대,하계올림픽,3관왕,영광,타이틀,감사,소감,양궁,대표,1일,영종도,인천국제공항,귀국,안산,취재진,질문,안주,모습,다짐,안산,남초,커뮤니티,중심,자신,비난,성적,기록,에펨코리아,다수,남초,커뮤니티,안산,숏커트,과거,SNS,웅앵웅,오조오억,신조어,사용,페미니스트,비난,금메달,박탈,억지주장,양궁협회,항의,결국,사실,해외,안산,온라인,외신,보도,안산,도쿄,올림픽,양궁,1일,영종도,인천국제공항,귀국,금메달,안산,경기력,유지,비결,경기,경기,혼잣말,도움,혼잣말,설명,비행기,혼잣말,질문,혼잣말,시상대,배경,정의선,회장님,눈물,회장님,전화,안산,도쿄,올림픽,양궁,1일,영종도,인천국제공항,귀국,선수,개인전,만점,안산,도쿄올림픽,3관왕,한국,선수,하계,올림픽,단일,대회,올림픽,양궁,3관왕,달성,양궁,역사,전설,안산,올림픽,개인전,만점,운동선수,안산,여자,단체전,금메달,합작,강채영,현대모비스,개인전,성적,여자,단체,달성,만족,대한민국,국가,대표,올림픽,영광,행복,오진혁,도쿄,올림픽,양궁,대표,왼쪽,김우진,김제덕,강채영,장민희,안산,1일,영종도,인천국제공항,귀국,기념촬영,장민희,인천대,여자,단체,경기,경험,소감,안산,언니들,단체전,우승,감사,시합,후회,올림픽,파이팅,김제덕,경북일고,남자,단체전,우승,혼성,단체전,우승,기분,후회,올림픽,김우진,청주시청,코로나19,도쿄올림픽,자체,만큼,참가,성적,올림픽,오진혁,현대제철,여름,양궁,대표,조금,감사,도쿄,선수,응원,감사,안산,도쿄,올림픽,양궁,대표,왼쪽,김제덕,1일,영종도,인천국제공항,귀국,금메달,오진혁,도쿄,올림픽,양궁,남자,대표,왼쪽,김우진,김제덕,1일,영종도,인천국제공항,귀국,메달","안산,금메달,3관왕,개인전,혼잣말,김제덕,단체전,영광,하계올림픽,오진혁,도쿄,장민희,강채영,김우진,대한민국,회장님,만큼,도쿄올림픽,오조오억,웅앵웅,신조어,에펨,코리아,에펨코리아,정의선,억지주장,눈물,시상대",2020 도쿄올림픽 양궁 3관왕 안산이 1일 오후 영종도 인천국제공항을 통해 귀국하며 손을 흔들고 있다... 연합뉴스 .. .. .. .. 2020 도쿄올림픽 양궁에서 금메달 3개를 획득하고 새로운 역사를 쓴 안산(20·광주여대)이 ..하계올림픽 첫 3관왕이라는 영광스러운 타..코로나19로 인해 힘들게 열린 도쿄올림픽인 만큼 참가 자체가 기뻤다며 ..,http://www.busan.com/view/busan/view.php?code=2021080119572954072
44,2021-08-01,디지털타임스,박양수,미국 세입자 퇴거 유예조치 종료… 수백만명 길거리에 나앉을 판,국제>미국_북미,국제>중남미,국제>아시아,,,,,"오하이오주, 미국, 텍사스주, 미","프린스턴대, 미국, 인구조사국, 민주당, 대법원, 뉴욕주, 폴리티코, 정부, 백악관, 워싱턴포스트, WP, 공화당, 질병통제예방센터","종료,미국,세입자,퇴거,유예,조치,길거리,코로나,집세,세입자,급증,3월,45만,퇴거,요구,소송,백악관,안해,연방,차원,추가,연장,세입자,주거,국면,코로나19,사태,여파,경제,위기,집세,미국,세입자,강제,퇴거,위기,직면,미국,세입자,퇴거,유예,조치,현지시간,종료,언론,코로나19,여파,집세,세입자,강제,퇴거,유예,정부,조치,이날,자정,정치,전문,매체,폴리티코,의원,활동가들,전례,퇴거,급증,수준,세입자,보호,주거,비용,코로나19,경제,위기,지속,오하이오주,텍사스주,남동부,지역,위험,지적,뉴욕주,8월,자체적,퇴거,조처,퇴거,임대료,세입자,지원,자금,분배,속도,조치,세입자,퇴거,지역,폴리티코,전개,상황,8월,퇴거,분쟁,급증,연구소,프린스턴대,퇴거,조사,6개,도시,45만,소송,퇴거,요구,제기,퇴거,위기,미국인,추산,인구,마지막,7월,시행,설문조사,740만,세입자,임대료,체납,응답,360만,세입자,퇴거,직면,가능성,예산,정책,센터,정책,임대,주택,거주,성인,16%,1140만,세입자,임대료,제때,추산,워싱턴포스트,WP,600만,세입자,집값,상태,급증,코로나19,세입자,주거,국면,질병,CDC,세입자들,거주지,보건,위험,노출,사태,퇴거,유예,조치,연방,정부,만료,예정,조치,연장,대법원,시한,승인,지난달,의회,조치,연장,결정,백악관,연방,차원,조치,연장,민주당,연장,추진,공화당,반대,실패","세입자,코로나19,폴리티코,미국,백악관,임대료,6개,45만,안해,세입자들",코로나19 사태의 여파로 인한 경제 위기 속에서 집세를 내지 못한 수백만 명의 미국 세입자들이 강제 퇴거될 위기에 직면했다. ..미 언론에 따르면 코로나19의 여파로 집세를 내지 못한 세입자의 강제 퇴거를 유예해온 정부 조치가 이날 자정 끝난다. ....코..다시 급증하는 코로나19 속에서 세입자 주거 문제가 우려스러운 국면을 맞고 있다고 전했다. ..,http://www.dt.co.kr/contents.html?article_no=2021080202101719002001&ref=jeadan
